                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.63164,                0.42091,                0.97215,                0.79712,                0.96966,                 0.9429,                0.76841,                0.72976,                 3.6416,                0.91049,             0.00032363,             0.00032363,             0.00032363
                     54,                 0.6041,                0.40883,                0.94871,                 0.8338,                 0.9203,                0.94228,                0.77428,                0.72003,                 3.5727,                0.90621,             0.00031703,             0.00031703,             0.00031703
                     55,                0.61299,                0.41725,                0.96465,                0.83497,                0.98077,                0.94505,                0.77861,                0.72531,                 3.3293,                0.91663,             0.00031042,             0.00031042,             0.00031042
                     56,                0.59076,                0.40112,                  0.952,                0.79907,                0.98077,                0.92129,                0.74622,                0.76071,                 3.7338,                 0.9188,             0.00030382,             0.00030382,             0.00030382
                     57,                 0.6062,                0.40946,                0.95126,                0.82521,                0.97523,                0.94873,                0.76364,                0.78177,                 3.4691,                0.91753,             0.00029722,             0.00029722,             0.00029722
                     58,                0.62446,                0.40932,                0.95856,                 0.8194,                0.97514,                0.89851,                0.72551,                0.76843,                 3.3971,                0.91076,             0.00029061,             0.00029061,             0.00029061
                     59,                0.56327,                0.38565,                0.94679,                0.80697,                0.96966,                0.91921,                 0.7446,                0.74584,                   3.81,                0.90273,             0.00028401,             0.00028401,             0.00028401
                     60,                 0.5698,                0.39161,                0.94804,                0.80552,                0.97509,                0.92201,                 0.7451,                0.73982,                 3.5617,                0.93597,             0.00027741,             0.00027741,             0.00027741
                     61,                0.59425,                0.40086,                0.95647,                 0.8087,                0.95855,                 0.9307,                0.77034,                0.76764,                  3.427,                0.95032,              0.0002708,              0.0002708,              0.0002708
                     62,                0.56777,                0.39077,                0.94069,                0.81776,                0.97341,                0.94438,                0.78759,                0.71207,                 3.3301,                0.92154,              0.0002642,              0.0002642,              0.0002642
                     63,                0.56259,                0.39229,                0.94381,                0.81161,                0.98077,                0.94518,                0.78403,                0.75561,                 3.6359,                0.91793,              0.0002576,              0.0002576,              0.0002576
                     64,                0.57344,                0.39372,                0.95915,                 0.8226,                0.96033,                0.94755,                0.76197,                0.80971,                 3.3593,                0.96098,             0.00025099,             0.00025099,             0.00025099
                     65,                0.57057,                0.38961,                0.95586,                0.83874,                0.98077,                0.95221,                0.77245,                0.79678,                 3.2081,                0.94557,             0.00024439,             0.00024439,             0.00024439
                     66,                0.55467,                0.37061,                0.93832,                 0.8315,                0.97743,                0.92987,                0.75554,                0.73404,                 3.4913,                0.93253,             0.00023779,             0.00023779,             0.00023779
                     67,                 0.5558,                0.37141,                0.95274,                0.79164,                0.98077,                 0.9343,                0.75609,                0.74558,                  4.197,                 0.9412,             0.00023118,             0.00023118,             0.00023118
                     68,                0.53834,                0.37059,                0.93017,                0.83824,                0.98077,                0.95516,                0.79732,                0.69405,                 4.0035,                0.91814,             0.00022458,             0.00022458,             0.00022458
                     69,                0.53492,                0.36481,                 0.9342,                0.86702,                0.97114,                0.93827,                0.77226,                0.75916,                 3.5353,                0.92795,             0.00021798,             0.00021798,             0.00021798
